"ROW_ID","ID","STATE_NAME","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
75,"370010215001","North Carolina","Alamance County","Piedmont",759,5.0065876,13.5704875,10.5906314,0,7.9365079,9.2226614,8.9591568,17.6410256,7.747906658,59.95776,0.110025476,30,0.3,495.5312565,1.477030069,40.2409639,0.017620007,0.064208266,0.102177068,0.582792622,17075542,357423
76,"370010215002","North Carolina","Alamance County","Piedmont",1074,7.7281192,18.9944134,3.1007752,0,11.9453925,4.4692737,18.1564246,17.6410256,7.747906658,59.95776,0.110025476,30,0.3,427.8952062,0.83033619,10.7843137,0.018716662,0.066144224,0.076212022,0.276531778,46619596,1231370
77,"370010215003","North Carolina","Alamance County","Piedmont",2746,20.7210488,33.831027,5.6928839,3.6144578,6.302521,3.4595776,14.2024763,17.6410256,7.747906658,59.95776,0.110025476,30,0.3,348.3797398,1.963624882,9.2360319,0.018312376,0.09827409,0.148723159,1.222454054,27883660,610359
78,"370010216001","North Carolina","Alamance County","Piedmont",822,23.6009732,40.7317073,12.8787879,0.2583979,21.3352685,1.703163,21.2895377,19.5897436,7.825283041,60.50365,0.129304589,30,0.3,497.660061,7.302982843,25.3424658,0.017127975,0.071626458,0.150665372,0.847820191,10504280,312875
79,"370010216002","North Carolina","Alamance County","Piedmont",1072,6.9029851,30.8768657,2.3554604,0,8.1632653,4.1977612,25.3731343,19.5897436,7.825283041,60.50365,0.129304589,30,0.3,528.8960023,7.66228842,22.601626,0.016964283,0.08631182,0.380998046,0.728471703,11517154,359544
80,"370010216003","North Carolina","Alamance County","Piedmont",2163,34.4891355,5.2242256,0,0,10.4605777,7.5358299,9.0614887,19.5897436,7.825283041,60.50365,0.129304589,30,0.3,629.422475,27.34911109,6.9160998,0.015961683,0.080524635,1.036589269,5.445099542,3418039,45723
81,"370010216004","North Carolina","Alamance County","Piedmont",3604,17.8690344,36.8565546,0,0,16.1165049,4.7169811,11.2652608,19.5897436,7.825283041,60.50365,0.129304589,30,0.3,566.4463255,47.88374777,3.9755352,0.016422772,0.087706859,1.333688395,4.134295264,7807059,90247
82,"370010217011","North Carolina","Alamance County","Piedmont",1568,17.2193878,10.8418367,0,0,4.7169811,2.9336735,15.6887755,14.8717949,7.876390247,60.78387,0.179007387,30,0.4,624.8133167,44.04311878,3.0701754,0.015771085,0.08204528,1.423272899,4.859534644,1386922,0
83,"370010217012","North Carolina","Alamance County","Piedmont",1887,6.0943296,17.4104683,6.1295972,0,2.850062,2.0667727,49.2315845,14.8717949,7.876390247,60.78387,0.179007387,30,0.4,621.6646209,51.52678637,0.304878,0.015600356,0.083383189,0.854653552,2.339700905,2864508,63639
84,"370010217021","North Carolina","Alamance County","Piedmont",2320,25.9913793,88.4142395,8.477237,0,50.4310345,0,0,15.7948718,7.878460438,60.7025,0.195896121,30,0.4,540.0822944,71.28224773,35.753176,0.016222808,0.086812298,1.793238671,9.746315997,1055255,6322
